population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	2516540	1213505	76	58483	39766	201359	586	84	571	18
ama_flo	1188479	546896	47	30337	21963	88454	274	56	282	8
ama_mal	1487846	681722	58	35076	25072	109326	346	72	316	15
ama_ros	1676380	789409	43	39811	27630	129130	413	41	368	14
ama_txn	992328	444014	35	24255	17346	70100	220	56	253	20
ama_vul	1417002	679143	34	32902	22284	112338	358	43	272	17
ama_zel	2335697	1127898	83	54272	36708	189064	539	64	485	20
chi_flo	1594537	695531	56	37116	26275	116523	363	57	365	10
chi_mal	2455901	1170181	86	57020	38651	200923	563	87	462	20
chi_ros	1597800	759774	46	39666	27674	128048	376	36	346	10
chi_txn	1635765	713103	60	36651	25257	120332	373	64	362	24
chi_vul	1369136	662769	46	33091	22555	112603	320	40	258	12
chi_zel	1255900	579687	53	31387	22601	92690	263	45	284	9
flo_mal	2068061	1026620	81	49836	33729	176429	497	82	418	12
flo_ros	1860707	887630	52	43480	29420	149485	443	44	412	8
flo_txn	1081279	478299	45	25571	17887	79482	255	56	263	19
flo_vul	1583199	769273	48	36148	24039	130810	381	48	298	13
flo_zel	2338810	1125683	86	53673	36109	191352	532	62	489	14
mal_ros	1601495	746059	44	38032	26509	121602	404	40	353	7
mal_txn	1070443	478019	46	26464	18846	76860	248	62	272	19
mal_vul	1340845	636400	43	30982	21142	104633	340	44	259	13
mal_zel	2300161	1111514	85	53807	36481	187055	522	61	471	17
ros_txn	1489581	660164	56	34446	23963	111203	339	68	361	25
ros_vul	744813	335935	29	17969	12789	55069	195	38	177	11
ros_zel	1998132	976901	82	48998	33568	166266	449	59	433	18
txn_vul	1627579	787141	50	36634	24482	133848	374	46	328	13
txn_zel	2440210	1174101	88	55556	37324	200668	542	62	508	16
vul_zel	2088336	1010997	80	50137	34177	172565	461	58	453	15
