population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	66314	64275	5	3802	2466	13108	10	2	14	0
ama_flo	29145	39776	2	1952	1114	7346	9	0	8	0
ama_mal	570	93	0	9	5	19	0	0	0	0
ama_ros	23333	28352	0	1373	906	5191	1	2	6	0
ama_txn	25851	35592	2	1653	943	6542	8	0	8	0
ama_vul	24714	29557	0	1430	910	5346	2	2	6	0
ama_zel	66212	63553	6	3694	2431	12946	15	2	15	0
chi_flo	26699	22440	0	1383	924	4654	11	0	1	0
chi_mal	64123	62053	9	4021	2642	13664	11	2	16	1
chi_ros	42470	46984	5	2866	1856	10121	5	0	8	0
chi_txn	39854	30807	5	1935	1313	6459	8	3	6	0
chi_vul	42278	46483	5	2968	1947	10173	1	0	8	0
chi_zel	4	6	0	0	0	1	0	0	0	0
flo_mal	30557	41010	7	2213	1313	8549	5	0	5	0
flo_ros	42236	52470	4	2680	1687	10459	14	0	5	0
flo_txn	616	432	0	34	21	95	0	0	0	0
flo_vul	43385	53415	4	2819	1742	10737	10	0	5	0
flo_zel	27375	23747	0	1394	952	4821	12	0	1	0
mal_ros	18581	21603	1	1068	748	4173	0	2	6	1
mal_txn	30146	38209	7	1942	1146	7605	5	0	5	1
mal_vul	20190	23098	1	1127	752	4317	0	2	6	1
mal_zel	63611	61155	7	3878	2552	13213	15	2	17	1
ros_txn	46629	53638	5	2755	1721	10630	8	3	7	0
ros_vul	54	83	0	0	1	0	0	0	0	0
ros_zel	41112	45254	4	2722	1788	9654	2	0	11	0
txn_vul	48146	54141	3	2840	1754	10849	8	3	6	0
txn_zel	40885	32119	4	1945	1344	6516	8	3	6	0
vul_zel	41037	44996	4	2814	1860	9727	2	0	11	0
