population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	8407	9223	3	580	442	1541	2	0	0	0
ama_flo	13688	15145	4	695	510	2168	4	0	0	0
ama_mal	6	1	0	0	0	0	0	0	0	0
ama_ros	2462	3587	0	212	157	634	0	0	0	0
ama_txn	13629	14602	5	642	459	1955	6	0	0	0
ama_vul	2603	3680	0	226	163	666	0	0	0	0
ama_zel	8370	9262	4	566	440	1537	1	0	0	0
chi_flo	2602	2522	0	113	101	335	0	0	0	0
chi_mal	8487	9178	3	562	437	1507	2	0	0	0
chi_ros	10879	11472	3	689	479	1799	5	0	0	0
chi_txn	3120	2919	1	125	116	393	0	0	0	0
chi_vul	11170	11376	3	683	474	1770	3	0	0	0
chi_zel	5	0	0	0	0	0	0	0	0	0
flo_mal	13988	15151	4	681	504	2144	4	0	0	0
flo_ros	17175	18352	3	839	573	2532	6	0	0	0
flo_txn	21	28	0	1	0	1	0	0	0	0
flo_vul	17314	18140	4	823	565	2490	6	0	0	0
flo_zel	2670	2567	0	114	89	348	0	0	0	0
mal_ros	2141	3166	0	189	141	564	0	0	0	0
mal_txn	13747	14711	5	626	450	1933	5	0	0	0
mal_vul	2247	3101	0	194	139	575	0	0	0	0
mal_zel	8451	9227	4	542	431	1492	1	0	0	0
ros_txn	17335	18589	4	813	542	2435	7	0	0	0
ros_vul	0	0	0	0	0	0	0	0	0	0
ros_zel	10819	11446	3	674	468	1788	2	0	0	0
txn_vul	17684	18548	5	807	548	2452	7	0	0	0
txn_zel	3199	2950	1	121	105	403	0	0	0	0
vul_zel	11143	11431	4	666	464	1757	2	0	0	0
