population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	0.09318	0.12004	0.13188	0.11825	0.11025	0.13543	0.09233	0.04991	0.07535	0.15097
ama_flo	0.06857	0.10965	0.15362	0.10642	0.09568	0.12494	0.07865	0.02608	0.05825	0.11719
ama_mal	0.01109	0.01366	0.01779	0.01290	0.01254	0.01381	0.01644	0.00503	0.01081	0.04034
ama_ros	0.07255	0.09917	0.07112	0.09222	0.08526	0.10734	0.06399	0.04851	0.06207	0.12461
ama_txn	0.06613	0.10856	0.14624	0.10614	0.09668	0.12301	0.06351	0.03895	0.04977	0.04947
ama_vul	0.07834	0.10516	0.10746	0.09982	0.09284	0.11450	0.07164	0.03760	0.06205	0.13225
ama_zel	0.09725	0.12496	0.13526	0.12357	0.11573	0.13993	0.10142	0.04910	0.08226	0.15028
chi_flo	0.08989	0.10344	0.10993	0.10055	0.09330	0.11713	0.09515	0.04538	0.07923	0.08667
chi_mal	0.09558	0.12303	0.13367	0.12381	0.11604	0.13870	0.10252	0.04175	0.07879	0.13219
chi_ros	0.07887	0.10878	0.11657	0.11031	0.10445	0.12316	0.06838	0.01971	0.06566	0.06889
chi_txn	0.09353	0.10755	0.12777	0.10454	0.09829	0.11912	0.10031	0.05674	0.07402	0.07494
chi_vul	0.08344	0.11147	0.12901	0.11490	0.10963	0.12577	0.07543	-0.00511	0.06482	0.05059
chi_zel	0.00925	0.01105	0.00257	0.01036	0.01003	0.01132	0.00992	-0.00560	0.00570	0.01768
flo_mal	0.07044	0.11267	0.16471	0.11187	0.10094	0.12737	0.08642	0.01124	0.05572	0.09590
flo_ros	0.10703	0.14889	0.17928	0.14154	0.13065	0.16484	0.10329	0.05944	0.09301	0.11890
flo_txn	0.03840	0.04563	0.03755	0.04386	0.04183	0.04962	0.04723	0.02268	0.03687	0.03224
flo_vul	0.11963	0.16261	0.20713	0.15565	0.14453	0.17736	0.10895	0.04192	0.10312	0.09039
flo_zel	0.09720	0.11300	0.12325	0.10924	0.10174	0.12600	0.10556	0.05078	0.09308	0.10881
mal_ros	0.07367	0.09970	0.07396	0.09457	0.08812	0.10755	0.07179	0.04837	0.06105	0.12561
mal_txn	0.06998	0.11279	0.16204	0.11225	0.10330	0.12662	0.07159	0.02300	0.05355	0.07139
mal_vul	0.08034	0.10660	0.11068	0.10275	0.09652	0.11502	0.07789	0.02047	0.06955	0.13523
mal_zel	0.09999	0.12819	0.14191	0.12941	0.12200	0.14329	0.11210	0.04013	0.08868	0.12978
ros_txn	0.10901	0.15126	0.17348	0.14620	0.13681	0.16667	0.09312	0.09308	0.08771	0.06638
ros_vul	0.02888	0.03136	0.04463	0.02988	0.02872	0.03304	0.02556	0.01292	0.02516	0.01176
ros_zel	0.08419	0.11518	0.11836	0.11677	0.11160	0.12883	0.07376	0.01695	0.07634	0.10886
txn_vul	0.12150	0.16526	0.20560	0.16099	0.15221	0.17989	0.10499	0.07501	0.09688	0.06518
txn_zel	0.10063	0.11665	0.13405	0.11355	0.10690	0.12767	0.11173	0.06714	0.08687	0.08618
vul_zel	0.09041	0.11981	0.13687	0.12306	0.11823	0.13283	0.08403	0.00196	0.08261	0.09156
