population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	965358	397672	32	14918	8205	82869	235	8	191	9
ama_flo	1366656	547976	38	22332	13149	108544	327	13	255	18
ama_mal	1968132	901985	59	37314	22015	176697	460	27	350	19
ama_ros	1235448	520489	39	19946	11261	104302	282	10	210	9
ama_txn	1501225	620043	51	26061	15500	121781	375	22	260	18
ama_vul	1156824	491078	45	18731	10704	97994	269	11	203	12
ama_zel	939602	389419	35	14711	8091	81611	221	7	173	10
chi_flo	960598	399341	29	15553	8837	80475	238	12	172	16
chi_mal	1000077	413526	31	15370	8436	85100	243	12	204	14
chi_ros	1314028	550124	36	20091	11217	105384	319	15	232	13
chi_txn	857788	350954	26	13665	7589	71549	222	14	151	14
chi_vul	1204690	507452	33	18542	10433	97729	307	14	217	17
chi_zel	2019399	937630	65	37596	22198	177985	497	26	374	21
flo_mal	1387917	557087	36	22554	13358	109594	309	17	248	22
flo_ros	1051121	422268	30	16277	9471	83947	252	7	166	15
flo_txn	1412274	585758	41	24745	14959	112399	340	22	250	19
flo_vul	990627	400948	31	15485	8949	79522	246	6	177	16
flo_zel	936489	391634	32	15310	8690	79323	228	9	169	16
mal_ros	1310333	563839	38	21725	12382	111830	291	11	225	16
mal_txn	1423110	586038	40	23852	14000	115021	347	16	241	19
mal_vul	1232981	533821	36	20651	11846	105699	287	10	216	16
mal_zel	975138	405803	33	15176	8318	83620	238	10	187	13
ros_txn	1003972	403893	30	15870	8883	80678	256	10	152	13
ros_vul	1829013	834286	50	33664	20199	155263	432	16	298	18
ros_zel	1277167	540416	36	19985	11231	104409	311	12	225	12
txn_vul	946247	383080	29	14999	8506	76484	253	8	147	16
txn_zel	835089	343216	30	13427	7475	70007	218	9	150	14
vul_zel	1186963	506320	38	18846	10622	98110	299	13	205	15
