population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	0.12354	0.14234	0.25627	0.18245	0.19433	0.16392	0.09721	-9.00000	0.08210	-9.00000
ama_flo	0.17222	0.20720	0.41792	0.23839	0.23498	0.22883	0.16711	-9.00000	0.04985	-9.00000
ama_mal	0.01529	0.01696	0.02178	0.01519	0.01390	0.01677	0.00702	-9.00000	0.01074	-9.00000
ama_ros	0.08311	0.10563	0.01270	0.12785	0.13102	0.12770	0.04229	-9.00000	0.01736	-9.00000
ama_txn	0.17875	0.21514	0.43267	0.25007	0.25175	0.23622	0.16457	-9.00000	0.07176	-9.00000
ama_vul	0.08336	0.10499	0.01687	0.13699	0.13782	0.13097	0.04094	-9.00000	0.01383	-9.00000
ama_zel	0.12972	0.14995	0.31182	0.18993	0.20020	0.17096	0.09509	-9.00000	0.06905	-9.00000
chi_flo	0.09866	0.10778	0.15267	0.11754	0.11591	0.12572	0.06212	-9.00000	0.06126	-9.00000
chi_mal	0.13041	0.14994	0.32612	0.19400	0.20691	0.17172	0.10362	-9.00000	0.09520	-9.00000
chi_ros	0.15906	0.18444	0.31625	0.23226	0.22929	0.20698	0.14165	-9.00000	0.09863	-9.00000
chi_txn	0.10228	0.11163	0.17062	0.12168	0.12543	0.12826	0.08071	-9.00000	0.08569	-9.00000
chi_vul	0.15849	0.18257	0.25700	0.24306	0.23972	0.21001	0.13577	-9.00000	0.08898	-9.00000
chi_zel	0.01751	0.02112	-0.04734	0.02979	0.02668	0.02633	0.00507	-9.00000	0.02158	-9.00000
flo_mal	0.18590	0.22134	0.49561	0.25473	0.25532	0.24135	0.20843	-9.00000	0.06146	-9.00000
flo_ros	0.26062	0.30737	0.50824	0.32629	0.30760	0.33120	0.29020	-9.00000	0.07707	-9.00000
flo_txn	0.04397	0.04784	-0.00341	0.04309	0.03377	0.04937	0.06535	-9.00000	0.00976	-9.00000
flo_vul	0.27730	0.32352	0.42503	0.35206	0.33196	0.34639	0.33399	-9.00000	0.05388	-9.00000
flo_zel	0.11073	0.12374	0.21603	0.12475	0.12097	0.13514	0.10623	-9.00000	0.04692	-9.00000
mal_ros	0.08713	0.11025	0.06324	0.13392	0.13842	0.13083	0.07254	-9.00000	0.02491	-9.00000
mal_txn	0.19271	0.22953	0.53452	0.26928	0.27294	0.24775	0.20444	-9.00000	0.08011	-9.00000
mal_vul	0.08841	0.11059	0.07095	0.14490	0.14733	0.13470	0.07116	-9.00000	0.03296	-9.00000
mal_zel	0.13708	0.15807	0.38904	0.20057	0.21295	0.17882	0.11534	-9.00000	0.07895	-9.00000
ros_txn	0.27035	0.31878	0.55134	0.34219	0.32592	0.33975	0.29936	-9.00000	0.10788	-9.00000
ros_vul	0.03048	0.03234	0.02403	0.02689	0.02122	0.03275	0.02442	-9.00000	0.03154	-9.00000
ros_zel	0.16900	0.19634	0.36398	0.23917	0.23540	0.21600	0.14695	-9.00000	0.08360	-9.00000
txn_vul	0.28889	0.33683	0.45603	0.37210	0.35334	0.35642	0.32889	-9.00000	0.08659	-9.00000
txn_zel	0.11425	0.12746	0.25525	0.12890	0.12865	0.13775	0.11448	-9.00000	0.05434	-9.00000
vul_zel	0.17074	0.19705	0.30432	0.24992	0.24696	0.21990	0.16343	-9.00000	0.06846	-9.00000
