population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	2778282	1306996	102	65108	44094	224646	635	99	520	22
ama_flo	2376984	1156692	96	57694	39150	198971	543	94	456	13
ama_mal	1775508	802683	75	42712	30284	130818	410	80	361	12
ama_ros	2508192	1184179	95	60080	41038	203213	588	97	501	22
ama_txn	2242415	1084625	83	53965	36799	185734	495	85	451	13
ama_vul	2586816	1213590	89	61295	41595	209521	601	96	508	19
ama_zel	2804038	1315249	99	65315	44208	225904	649	100	538	21
chi_flo	2521300	1211836	79	57848	39134	203753	583	80	590	11
chi_mal	2481821	1197651	77	58031	39535	199128	578	80	558	13
chi_ros	2167870	1061053	72	53310	36754	178844	502	77	530	14
chi_txn	2624110	1260223	82	59736	40382	212679	599	78	611	13
chi_vul	2277208	1103725	75	54859	37538	186499	514	78	545	10
chi_zel	1462499	673547	43	35805	25773	106243	324	66	388	6
flo_mal	1167218	537785	49	30115	21754	87404	292	52	289	4
flo_ros	1504014	672604	55	36392	25641	113051	349	62	371	11
flo_txn	1142861	509114	44	27924	20153	84599	261	47	287	7
flo_vul	1564508	693924	54	37184	26163	117476	355	63	360	10
flo_zel	1618646	703238	53	37359	26422	117675	373	60	368	10
mal_ros	2145645	1019868	79	50665	34705	174193	515	88	441	18
mal_txn	2032868	997669	77	48538	33087	171002	459	83	425	15
mal_vul	2222997	1049886	81	51739	35241	180324	519	89	450	18
mal_zel	2480840	1177904	84	57214	38769	202403	568	89	479	21
ros_txn	1907856	906005	52	43887	30008	152754	439	41	426	10
ros_vul	1082815	475612	32	26093	18692	78169	263	35	280	5
ros_zel	1634661	769482	46	39772	27660	129023	384	39	353	11
txn_vul	1547306	680977	57	35317	24340	115397	342	70	366	22
txn_zel	1658464	720841	56	36889	25371	121874	377	69	363	24
vul_zel	1386863	663901	41	32787	22366	112222	328	41	270	14
