dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	corr_pi	corr_dAB_FST	corr_dnAB_FST
ama_chi	45.803	28.685	1.656	3.467	19.642	13.998	18.049	12.552	6.453	7.171	-6.412	7.909	0.0247152	0.0175613	0.0243111	0.0156326	0.0303960	0.0186877	0.0282893	0.0157680	-0.7978753	0.7139527	-0.6231806	0.6603551	0.0469082	0.0222871	0.0223950	0.0143466	0.0139998	0.0126649	0.0932476	0.0467381	0.2833166	0.2173949	2.0962980	0.6470493	0.3359571	0.1807895	0.7109899	0.0446418	0.6476552
ama_flo	39.826	27.853	1.187	3.245	19.694	15.059	9.260	9.030	9.684	10.901	-7.289	6.470	0.0261400	0.0178964	0.0202796	0.0168031	0.0317009	0.0181220	0.0207282	0.0151853	-0.7736769	0.7104021	-0.2468653	0.9343988	0.0397284	0.0206450	0.0165186	0.0141134	0.0091431	0.0109888	0.0802587	0.0405539	0.2143697	0.2343709	2.2134707	0.9606212	0.2941680	0.2253276	0.7582503	0.0607106	0.7302723
ama_mal	39.763	27.966	0.101	0.374	13.053	10.419	10.533	8.624	16.076	13.458	-8.980	0.600	0.0263365	0.0175851	0.0258659	0.0169871	0.0318020	0.0177268	0.0292030	0.0167796	-0.7480035	0.7301565	-0.5143793	0.7451911	0.0286259	0.0178705	0.0025247	0.0034331	0.0019604	0.0038386	0.0744531	0.0429780	0.0525056	0.0992100	2.9944803	1.3045422	0.0536818	0.0772898	0.8996385	-0.0596834	0.7052174
ama_ros	42.473	28.643	0.827	2.579	19.690	14.329	12.479	9.818	9.477	9.872	-7.827	5.233	0.0268411	0.0186954	0.0248362	0.0180167	0.0325753	0.0191172	0.0250311	0.0169917	-0.7755555	0.6963057	-0.0906532	0.8408957	0.0410881	0.0216893	0.0152495	0.0124657	0.0087427	0.0108097	0.0868219	0.0474132	0.1979216	0.2129944	2.2715588	0.8310672	0.2591303	0.1970803	0.7628120	-0.0249661	0.6731010
ama_txn	38.200	27.604	1.124	3.798	17.712	14.384	8.027	7.764	11.337	12.503	-7.399	6.476	0.0251645	0.0177689	0.0203305	0.0165645	0.0305008	0.0184546	0.0205714	0.0148906	-0.7590378	0.7217719	-0.1729742	0.9789784	0.0380246	0.0201111	0.0152771	0.0138721	0.0076842	0.0107815	0.0758897	0.0367588	0.1868276	0.2374752	2.2317632	0.9960662	0.2816760	0.2306271	0.7617306	0.0830496	0.7497985
ama_vul	40.353	28.445	0.782	2.476	19.896	14.836	11.071	9.474	8.604	9.573	-8.079	4.655	0.0261906	0.0179369	0.0237322	0.0174696	0.0319337	0.0184895	0.0221907	0.0152566	-0.7843519	0.7070854	0.2022486	0.9230223	0.0403531	0.0221290	0.0153917	0.0125636	0.0085696	0.0103364	0.0839843	0.0432736	0.1957119	0.2052808	2.2581478	0.7745150	0.2606281	0.1863701	0.7351530	0.0149421	0.6474989
ama_zel	46.198	28.784	1.569	3.484	20.126	13.972	17.367	11.590	7.134	8.038	-6.622	7.604	0.0268323	0.0194451	0.0259214	0.0165513	0.0327114	0.0201531	0.0289842	0.0165591	-0.8038718	0.7184716	-0.4658018	0.6749296	0.0486424	0.0242080	0.0222656	0.0144116	0.0142608	0.0135727	0.0979971	0.0534280	0.2728075	0.2094266	2.1179096	0.6645299	0.3198695	0.1683467	0.7396190	0.0055531	0.6101395
chi_flo	39.824	27.921	0.677	1.741	20.392	14.412	11.243	10.262	7.512	8.276	-8.293	3.980	0.0270469	0.0166063	0.0203975	0.0171348	0.0312341	0.0165893	0.0209782	0.0153884	-0.6061476	0.6653832	-0.2665579	0.9420063	0.0394131	0.0234898	0.0156909	0.0126403	0.0093149	0.0112662	0.0811884	0.0444159	0.2008397	0.1930331	2.3236747	0.9279757	0.2525856	0.1477412	0.6889840	0.1690345	0.6407894
chi_mal	44.701	27.914	1.394	3.129	18.170	12.341	17.922	12.694	7.212	8.070	-6.771	7.034	0.0260295	0.0171957	0.0257777	0.0178704	0.0301956	0.0175086	0.0295576	0.0176798	-0.6201730	0.6456671	-0.5830283	0.7265818	0.0474889	0.0230300	0.0215852	0.0142988	0.0129533	0.0131154	0.0939867	0.0456406	0.2559548	0.2151662	2.0980668	0.8560065	0.3207026	0.1818952	0.7528155	-0.0027271	0.6261072
chi_ros	40.090	27.817	1.327	3.774	17.999	13.766	11.830	9.528	8.933	10.173	-7.014	7.213	0.0257459	0.0174052	0.0233246	0.0184983	0.0297295	0.0173582	0.0236111	0.0171075	-0.6048582	0.6606452	-0.1389356	0.8567411	0.0406088	0.0209803	0.0160735	0.0131988	0.0099625	0.0118727	0.0818379	0.0417379	0.2246937	0.2280980	2.1876316	0.8272226	0.2759960	0.2081942	0.8031018	0.0488494	0.7574872
