dataset bialsites_avg sf_avg sxA_avg sxB_avg ss_avg piA_avg piB_avg thetaA_avg thetaB_avg DtajA_avg DtajB_avg divAB_avg netdivAB_avg minDivAB_avg maxDivAB_avg Gmin_avg Gmax_avg FST_avg nSamA nSamB Lsyno bestModel contig start end
Hmel200004_1 31.4102564102564 0 13.4615384615385 13.4615384615385 4.48717948717949 0.0303644 0.0125506 0.0289097 0.0289097 0.1456657 -1.6381444 0.045641 0.0241835 0 0.1282051 0 2.8089888 0.3662749 20 20 39 M2 Hmel200004 2916 9864
Hmel200006_2 59.8101265822785 0 13.2911392405063 17.7215189873418 28.7974683544304 0.0635576 0.0905396 0.0677914 0.0749274 -0.2361878 0.7951711 0.0860759 0.0090273 0 0.164557 0 1.9117648 0.0566785 20 20 79 M3 Hmel200006 43503 45820
Hmel200008_1 47.2972972972973 0 14.1891891891892 18.9189189189189 14.1891891891892 0.0386913 0.0421053 0.0457086 0.0533267 -0.4892504 -0.6918674 0.0472973 0.006899 0 0.1621622 0 3.4285714 0.0805247 20 20 37 M3 Hmel200008 15991 17132
Hmel200008_2 24.609375 0 5.46875 13.671875 5.46875 0.0129112 0.0163651 0.0176168 0.0308295 -0.7732669 -1.5425972 0.0171094 0.0024712 0 0.078125 0 4.5662099 0.0796766 20 20 64 M2 Hmel200008 16303 18439
Hmel200008_3 66.2621359223301 0 16.9902912621359 20.3883495145631 28.8834951456311 0.0698518 0.0801226 0.0738881 0.0793613 -0.212613 0.0375172 0.0837864 0.0087992 0 0.184466 0 2.2016221 0.05676 20 20 103 M3 Hmel200008 27691 36039
Hmel200009_1 78.921568627451 0 27.4509803921569 27.4509803921569 24.0196078431373 0.0910217 0.0626419 0.0829028 0.0829028 0.3613946 -0.9018759 0.0885294 0.0116976 0 0.2352941 0 2.6578072 0.0724222 20 20 51 M1 Hmel200009 15140 15445
Hmel200013_1 29.1666666666667 0 14.5833333333333 14.5833333333333 0 0.0083333 0.0223684 0.0234891 0.0234891 -1.1643909 -0.0861022 0.0166667 0.0013158 0 0.1666667 0 10.0000009 0.0421053 20 20 12 M3 Hmel200013 3803 12005
Hmel200014_1 36.9718309859155 0 19.7183098591549 7.3943661971831 9.85915492957746 0.0398073 0.0278725 0.0476399 0.02779 -0.590196 0.0097651 0.0330282 -0.0008117 0 0.0704225 0 2.1321961 -0.0124541 20 20 71 M1 Hmel200014 6183 7445
Hmel200014_2 24.0625 0 10.9375 7.65625 5.46875 0.0262171 0.0171053 0.0264253 0.0211402 -0.0290706 -0.685152 0.0239375 0.0022763 0 0.05625 0 2.3498695 0.0511352 20 20 160 M2 Hmel200014 11660 12526
Hmel200030_2 46.6666666666667 0 17.5 11.6666666666667 17.5 0.0491228 0.052807 0.0563739 0.0469783 -0.4099094 0.3796442 0.0591667 0.0082018 0 0.2333333 0 3.943662 0.0762362 20 20 30 M3 Hmel200030 2044 2527
